codigo,maquina,componente,frecuencia,refacciones,tarea
ELE-01,Subestaciones,Transformadores,Semestral,Ninguna,"Inspección visual de fugas de aceite, nivel, temperatura y ruidos anormales."
ELE-01,Subestaciones,Interruptores de potencia,Anual,"Grasa dieléctrica, contactos","Revisar contactos, mecanismo de apertura/cierre y estado general."
ELE-01,Subestaciones,Sistema de puesta a tierra,Anual,Ninguna,Medir resistencia y verificar conexiones firmes.
ELE-01,Subestaciones,Aisladores y barras,Semestral,Ninguna,Limpieza y revisión de fisuras o puntos calientes.
ELE-01,Subestaciones,Tableros de protección y control,Mensual,Ninguna,"Verificar relevadores, conexiones y funcionamiento correcto."
ELE-02,Centro de Control de Motores,Gabinete general,Semestral,Ninguna,Limpieza general de polvo y suciedad.
ELE-02,Centro de Control de Motores,Terminales de conexión,Semestral,Terminales (si aplica),Reapriete de terminales eléctricas.
ELE-02,Centro de Control de Motores,Contactores y Relés,Anual,Ninguna,Revisión termográfica en busca de puntos calientes.
PRO-01,Gusanos Helicoidales,Artesa,Mensual,Ninguna,Revisar si hay desgaste y alineación. Apriete todos los pernos.
PRO-01,Gusanos Helicoidales,Ejes,Trimestral,Tornillería,Checar si hay desgaste. Revisar si hay alargamiento o deterioro del agujero del tornillo.
PRO-01,Gusanos Helicoidales,Alabes,Semestral,Ninguna,Inspeccionar los bordes para saber si hay desgaste o daño.
PRO-01,Gusanos Helicoidales,Tornillos y tuercas,Mensual,Ninguna,Examínelos todos para saber si hay desgaste y estiramiento.
PRO-01,Gusanos Helicoidales,Sellos,Mensual,"Sellos mecánicos, Empaquetaduras","Revise salida, ajuste y desgaste."
PRO-01,Gusanos Helicoidales,Guardas,Semanal,Ninguna,Nivel de aceite (si fuera aplicable). Tuercas y tornillos de estiramiento.
PRO-01,Gusanos Helicoidales,Rodamientos,Semanal,Grasa EP2,Lubricación.
PRO-02,Elevador de Cangilones,Cangilones,Mensual,Tornillería,Inspeccionar desgaste de cangilones y reapriete.
PRO-02,Elevador de Cangilones,Cadena de transmisión,Semanal,Grasa,Revisión de tensión de la cadena y engrase.
PRO-03,Bandas Transportadoras,Banda (superficie inferior y superior),Mensual,Ninguna,"Inspeccionar en busca de cortes, hendiduras u otros signos de daño no visibles a simple vista en la operación diaria."
PRO-03,Bandas Transportadoras,Tensión de la banda,Mensual,Correas de repuesto,"Verificar la tensión. Una tensión incorrecta (especialmente en bandas modulares) causa desgaste prematuro. En bandas ThermoDrive, se recomienda operar sin tensión."
PRO-03,Bandas Transportadoras,Limpieza profunda,Mensual,Ninguna,"Realizar una limpieza programada del transportador, incluyendo estructura, guías y parte inferior de la banda."
SER-01,Caldera,Purga de fondo,Diario,Ninguna,Realizar según procedimiento.
SER-01,Caldera,Nivel de agua,Diario,Ninguna,Verificar nivel correcto en mirilla.
SER-01,Caldera,Presión/Temperatura,Diario,Ninguna,Leer manómetros dentro de rango.
SER-01,Caldera,Fugas,Semanal,Ninguna,"Inspeccionar visualmente combustible, agua o vapor."
SER-01,Caldera,Tratamiento de agua,Mensual,Ninguna,Verificar niveles de químicos.
SER-01,Caldera,Quemador,Trimestral,"Filtro quemador, Boquillas","Limpiar filtro, verificar llama."
SER-02,Compresor de tornillo de aire,Fugas de aire,Semanal,Ninguna,Inspección visual y auditiva.
SER-02,Compresor de tornillo de aire,Drenaje de condensado,Diario,Ninguna,Vaciar el depósito.
SER-02,Compresor de tornillo de aire,Correas de transmisión,Mensual,Correas de repuesto,Inspeccionar tensión y desgaste.
SER-02,Compresor de tornillo de aire,Acoplamientos,Trimestral,Ninguna,Inspeccionar desgaste.
SER-02,Compresor de tornillo de aire,Aceite y filtro de aceite,Semestral,"Aceite sintético, Filtro de aceite",Reemplazar
SER-03,Compresor de tornillo de refrigeración,Filtros,Semestral,Filtro de refrigerante,Cambio de filtro de refrigerante.
SER-03,Compresor de tornillo de refrigeración,Válvulas de alivio,Semestral,O-Rings,Revisión y calibración de válvulas de alivio.
SER-04,Compresores de Pistón,Cárter,Semanal,Aceite lubricante,Revisión de nivel de aceite y rellenado si es necesario.
SER-04,Compresores de Pistón,Válvulas de admisión/escape,Mensual,Limpiador,Limpieza e inspección de válvulas de admisión y escape.
SER-05,Torre de Enfriamiento,Relleno (Fill),Semestral,Químicos de limpieza,Limpieza del relleno para evitar incrustaciones.
SER-05,Torre de Enfriamiento,Ventilador,Mensual,Ninguna,Revisión de tensión de bandas y estado de las aspas del ventilador.
